year,location,erosion_cause,erosion_rate
2011,Florida Coast,Hurricane impact,3.3
2024,Oregon Coast,Hurricane impact,0.88
2019,Florida Coast,Human infrastructure,0.73
2015,Louisiana Coast,Coastal development,2.89
2012,Texas Gulf Coast,Rising sea levels,2.93
2011,Texas Gulf Coast,Hurricane impact,3.37
2023,Oregon Coast,Rising sea levels,3.77
2015,Alaska Shoreline,Hurricane impact,4.89
2015,Louisiana Coast,Deforestation,2.82
2008,California Coast,Coastal development,1.95
2012,Florida Coast,Coastal development,4.08
2007,New York Coast,Wave action,1.72
2006,Florida Coast,Human infrastructure,2.48
2016,Hawaii Shoreline,Wave action,0.85
2010,Florida Coast,Wave action,0.61
2006,California Coast,Wave action,4.83
2005,Florida Coast,Wave action,4.26
2016,Louisiana Coast,Wave action,3.63
2016,Louisiana Coast,River sediment depletion,2.34
2021,Texas Gulf Coast,Coastal development,1.28
2014,Oregon Coast,Wave action,1.2
2020,Alaska Shoreline,Hurricane impact,1.63
2019,New York Coast,Coastal development,2.97
2019,Hawaii Shoreline,Coastal development,3.72
2023,Florida Coast,Storm surges,3.47
2016,Florida Coast,River sediment depletion,1.76
2024,California Coast,Wave action,4.8
2007,Oregon Coast,Rising sea levels,3.82
2009,Louisiana Coast,Deforestation,2.99
2023,New York Coast,Human infrastructure,3.25
2011,Texas Gulf Coast,Hurricane impact,2.39
2013,Louisiana Coast,Rising sea levels,1.61
2011,Hawaii Shoreline,River sediment depletion,2.1
2022,Oregon Coast,Deforestation,3.91
2008,Hawaii Shoreline,River sediment depletion,0.56
2018,Alaska Shoreline,Hurricane impact,1.02
2022,Texas Gulf Coast,Coastal development,0.71
2013,Alaska Shoreline,Deforestation,0.68
2006,California Coast,Coastal development,4.35
2024,Hawaii Shoreline,Hurricane impact,3.67
2019,California Coast,Rising sea levels,2.63
2011,Florida Coast,Hurricane impact,0.94
2016,Alaska Shoreline,Rising sea levels,2.71
2012,Oregon Coast,Deforestation,2.63
2019,Hawaii Shoreline,Deforestation,1.28
2007,New York Coast,Wave action,2.45
2018,Texas Gulf Coast,River sediment depletion,2.29
2021,Louisiana Coast,Wave action,3.27
